DriverNumber,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,TyreLife,HARD,INTERMEDIATE,MEDIUM,SOFT,WET
33,40.0,30.604000000000003,42.153000000000006,23.483,239.0,247.0,281.0,8.0,0,0,1,0,0
33,41.0,30.649,41.973000000000006,23.583000000000002,238.0,245.0,281.0,9.0,0,0,1,0,0
33,44.0,30.562,41.948,23.437,237.0,250.0,281.0,12.0,0,0,1,0,0
33,45.0,30.531000000000002,41.845000000000006,23.401,238.0,248.0,282.0,13.0,0,0,1,0,0
33,46.0,30.522000000000002,41.815000000000005,23.606,239.0,249.0,281.0,14.0,0,0,1,0,0
33,48.0,30.371000000000002,41.771,23.577,238.0,251.0,281.0,16.0,0,0,1,0,0
33,49.0,30.713,42.244,23.594,240.0,252.0,281.0,17.0,0,0,1,0,0
33,50.0,30.506,41.854,23.610000000000003,238.0,252.0,281.0,18.0,0,0,1,0,0
33,51.0,30.675,41.868,23.489,240.0,252.0,282.0,19.0,0,0,1,0,0
33,53.0,30.417,42.076,23.518,241.0,254.0,283.0,21.0,0,0,1,0,0
33,54.0,30.438000000000002,42.123000000000005,23.671000000000003,240.0,255.0,278.0,22.0,0,0,1,0,0
44,2.0,18.14,43.937000000000005,40.663000000000004,269.0,273.0,217.0,5.0,0,0,1,0,0
44,3.0,18.213,43.681000000000004,40.609,271.0,280.0,216.0,6.0,0,0,1,0,0
44,4.0,18.293000000000003,43.899,40.724000000000004,267.0,279.0,216.0,7.0,0,0,1,0,0
44,5.0,18.129,43.867000000000004,41.134,273.0,286.0,218.0,8.0,0,0,1,0,0
44,6.0,18.138,43.956,40.764,271.0,279.0,217.0,9.0,0,0,1,0,0
44,9.0,18.053,44.144000000000005,40.677,270.0,280.0,217.0,12.0,0,0,1,0,0
44,10.0,18.148,44.096000000000004,40.663000000000004,271.0,280.0,217.0,13.0,0,0,1,0,0
44,11.0,18.081,44.061,40.637,274.0,281.0,216.0,14.0,0,0,1,0,0
44,12.0,18.125,44.127,40.815000000000005,272.0,279.0,217.0,15.0,0,0,1,0,0
44,13.0,18.081,43.951,40.588,273.0,283.0,216.0,16.0,0,0,1,0,0
44,15.0,17.874000000000002,44.089000000000006,40.481,277.0,287.0,217.0,18.0,0,0,1,0,0
44,16.0,17.898,43.926,40.468,274.0,285.0,218.0,19.0,0,0,1,0,0
44,17.0,17.912000000000003,44.050000000000004,40.512,275.0,285.0,217.0,20.0,0,0,1,0,0
44,18.0,17.950000000000003,43.942,40.518,274.0,286.0,217.0,21.0,0,0,1,0,0
44,19.0,17.881,43.903000000000006,40.445,276.0,287.0,217.0,22.0,0,0,1,0,0
44,20.0,17.887,43.88,40.89,275.0,288.0,217.0,23.0,0,0,1,0,0
44,21.0,17.838,44.066,41.776,277.0,293.0,215.0,24.0,0,0,1,0,0
44,22.0,17.978,43.836000000000006,40.992000000000004,273.0,292.0,214.0,25.0,0,0,1,0,0
44,23.0,17.900000000000002,43.969,41.909000000000006,281.0,289.0,214.0,26.0,0,0,1,0,0
44,25.0,17.925,44.127,41.069,277.0,291.0,216.0,28.0,0,0,1,0,0
44,28.0,17.867,43.211000000000006,39.992000000000004,275.0,290.0,220.0,2.0,1,0,0,0,0
44,29.0,17.802,43.53,40.412,276.0,282.0,221.0,3.0,1,0,0,0,0
44,31.0,17.927,43.407000000000004,40.235,275.0,282.0,221.0,5.0,1,0,0,0,0
